311.0,639.0
335.0,621.0
364.0,606.0
402.0,606.0
443.0,602.0
491.0,609.0
540.0,606.0
590.0,608.0
638.0,607.0
639.0,582.0
673.0,587.0
709.0,587.0
750.0,583.0
791.0,583.0
826.0,591.0
847.0,614.0
866.0,636.0
491.0,607.0
491.0,685.0
442.0,683.0
398.0,702.0
355.0,702.0
443.0,602.0
492.0,607.0
534.0,530.0
536.0,498.0
538.0,469.0
539.0,442.0
539.0,418.0
520.0,379.0
494.0,364.0
458.0,364.0
422.0,364.0
390.0,365.0
360.0,363.0
327.0,363.0
294.0,363.0
259.0,363.0
640.0,521.0
616.0,498.0
538.0,469.0
539.0,441.0
540.0,419.0
557.0,380.0
599.0,363.0
638.0,364.0
677.0,364.0
714.0,363.0
767.0,368.0
782.0,392.0
782.0,420.0
782.0,449.0
782.0,477.0
801.0,505.0
838.0,506.0
674.0,585.0
709.0,586.0
800.0,505.0
837.0,505.0
865.0,479.0
866.0,449.0
865.0,424.0
906.0,519.0
439.0,580.0
460.0,495.0
463.0,459.0
438.0,400.0
389.0,367.0
349.0,402.0
307.0,446.0
259.0,487.0
350.0,469.0
305.0,447.0
601.0,526.0
543.0,539.0
489.0,495.0
440.0,399.0
421.0,364.0
233.0,329.0
227.0,286.0
222.0,253.0
222.0,227.0
182.0,226.0
183.0,271.0
183.0,294.0
604.0,526.0
600.0,444.0
598.0,366.0
603.0,326.0
599.0,294.0
598.0,263.0
619.0,261.0
588.0,213.0
560.0,187.0
533.0,158.0
493.0,142.0
445.0,143.0
373.0,143.0
346.0,171.0
602.0,324.0
643.0,308.0
682.0,275.0
683.0,242.0
695.0,212.0
741.0,213.0
786.0,213.0
829.0,212.0
875.0,213.0
